Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk,RealReturnClass,RiskClass
2018-03-31,1.46,1.37,130053,101362.0,126878,0.7989,0.2155,0.267,0.383,0.1427,0.3997,0.68,16.13,3.56,7.5,44.49,0.2854,2640.8701171875,AAPL,0.6666,0.792,,
2017-12-31,1.24,1.2,143810,103922.0,140199,0.7412,0.2112,0.2687,0.3843,0.1383,0.3737,0.97,15.51,3.36,6.26,40.17,0.2805,2673.610107421875,AAPL,0.646,0.3465,,
2017-09-30,1.28,1.23,128645,97207.0,134047,0.7252,0.2109,0.2676,0.3847,0.1395,0.3629,0.52,16.59,3.52,5.85,40.35,0.2794,2519.360107421875,AAPL,0.6383,0.0778,,
2017-06-30,1.39,1.35,112875,89864.0,132425,0.6786,0.2087,0.2684,0.3851,0.14,0.354,0.42,15.92,3.37,5.6,36.62,0.2821,2423.409912109375,AAPL,0.6403,0.1909,,
2017-03-31,1.39,1.35,101990,84531.0,134082,0.6304,0.2074,0.2691,0.3841,0.1415,0.3509,0.53,15.49,3.25,5.32,34.08,0.2881,2362.719970703125,AAPL,0.6515,0.4243,,
2016-12-31,1.23,1.2,103332,73557.0,132390,0.5556,0.2073,0.2715,0.3852,0.1431,0.3494,0.84,15.84,3.3,5.26,33.85,0.2942,2238.830078125,AAPL,0.6671,0.4313,,
2016-09-30,1.35,1.33,106869,75427.0,128249,0.5881,0.2119,0.2784,0.3908,0.1491,0.3559,0.43,13.02,2.71,4.32,27.18,0.3076,2168.27001953125,AAPL,0.6923,0.9475,,
2016-06-30,1.31,1.29,93761,68939.0,126541,0.5448,0.217,0.2855,0.3949,0.1601,0.3789,0.36,12.76,2.71,4.39,26.39,0.3356,2098.860107421875,AAPL,0.7464,1.9799,,
2016-03-31,1.28,1.25,87592,69374.0,130457,0.5318,0.2227,0.2939,0.3981,0.1744,0.4024,0.48,10.37,2.26,3.78,22.2,0.3678,2059.739990234375,AAPL,0.8268,2.2769,,
2015-12-31,1.0,0.97,76219,53204.0,128267,0.4148,0.2287,0.3028,0.4013,0.1922,0.4279,0.82,11.19,2.5,4.23,25.15,0.4087,2043.93994140625,AAPL,0.9268,2.8921,,
2015-09-30,1.11,1.08,89378,53329.0,119355,0.4468,0.2285,0.3048,0.4006,0.1966,0.4294,0.5,10.26,2.36,4.18,24.16,0.4248,1920.030029296875,AAPL,1.0071,1.1384,,
2015-06-30,1.09,1.06,70953,47419.0,125677,0.3773,0.2262,0.3021,0.3971,0.1974,0.4146,0.46,10.93,2.51,4.7,25.13,0.4245,2063.110107421875,AAPL,1.0296,0.0212,,
2015-03-31,1.16,1.12,67891,40072.0,129006,0.3106,0.2253,0.3015,0.3966,0.1956,0.3944,0.58,13.18,3.0,5.18,28.54,0.4158,2067.889892578125,AAPL,1.0168,0.6152,,
2014-12-31,1.13,1.1,83403,32504.0,123328,0.2636,0.2225,0.2967,0.3926,0.1928,0.3736,0.77,13.94,3.16,5.04,28.19,0.4064,2058.89990234375,AAPL,0.9912,0.6647,,
2014-09-30,1.08,1.05,68531,28987.0,111547,0.2599,0.2161,0.2872,0.3859,0.1785,0.3276,0.36,13.43,3.01,4.71,24.91,0.3657,1972.2900390625,AAPL,0.9207,2.8779,,
2014-06-30,1.47,1.44,67949,29030.0,120940,0.24,0.2164,0.2884,0.384,0.1792,0.312,0.32,14.08,3.06,4.76,22.64,0.3578,1960.22998046875,AAPL,0.8543,0.5586,,
2014-03-31,1.63,1.59,70541,16962.0,120179,0.1411,0.2142,0.2857,0.3788,0.18,0.3036,0.42,13.43,2.92,4.12,20.78,0.3563,1872.3399658203125,AAPL,0.8416,0.1061,,
2013-12-31,1.49,1.46,80347,16961.0,129684,0.1308,0.2128,0.2831,0.3741,0.1792,0.2893,0.52,11.41,2.46,3.42,17.05,0.4609,1848.3599853515625,AAPL,0.9814,7.3963,,
2013-09-30,1.68,1.64,73286,16960.0,123549,0.1373,0.2167,0.2867,0.3762,0.1857,0.2906,0.3,12.3,2.63,3.41,17.72,0.6979,1681.550048828125,AAPL,1.4805,16.7584,,
2013-06-30,1.88,1.83,68219,16958.0,123354,0.1375,0.2228,0.2946,0.3827,0.1969,0.2993,0.27,10.58,2.3,3.05,14.97,1.4229,1606.280029296875,AAPL,3.1138,51.2652,,
2021-12-31,2.25,2.21,174188,48260.0,160010,0.3016,0.385,0.4252,0.6883,0.216,0.4839,2.48,32.1,12.08,14.13,307.56,0.3997,4766.18017578125,MSFT,0.9636,0.2263,,
2021-09-30,2.17,2.12,174326,50039.0,151978,0.3293,0.3851,0.4214,0.6886,0.2118,0.486,2.71,35.66,13.73,15.69,334.81,0.3889,4307.5400390625,MSFT,0.944,0.7637,,
2021-06-30,2.08,2.05,184406,50074.0,141988,0.3527,0.3645,0.4159,0.6893,0.1964,0.4623,2.17,31.34,12.07,13.84,280.14,0.3767,4297.5,MSFT,0.9121,0.8627,,
2021-03-31,2.29,2.26,165614,50007.0,134505,0.3718,0.3502,0.4015,0.6838,0.1844,0.4424,2.03,33.38,12.17,14.23,268.67,0.3528,3972.889892578125,MSFT,0.8624,1.69,,
2020-12-31,2.58,2.55,173973,55136.0,130236,0.4234,0.3347,0.3924,0.6835,0.1722,0.4219,2.03,31.78,11.13,13.07,233.29,0.3337,3756.070068359375,MSFT,0.8042,1.3506,,
2020-09-30,2.53,2.49,177077,57055.0,123392,0.4624,0.3229,0.3817,0.6827,0.1623,0.4074,1.82,32.72,10.96,12.72,219.58,0.3167,3363.0,MSFT,0.7561,1.2021,,
2020-06-30,2.52,2.49,181915,59578.0,118304,0.5036,0.3096,0.3703,0.6778,0.1542,0.3945,1.47,33.46,10.8,12.7,207.1,0.3021,3100.2900390625,MSFT,0.7145,1.0324,,
2020-03-31,2.9,2.88,170505,62862.0,114501,0.549,0.3336,0.3746,0.6817,0.1632,0.4274,1.4,34.76,10.75,12.79,199.89,0.3002,2584.590087890625,MSFT,0.693,0.1344,,
2019-12-31,2.8,2.77,167074,63361.0,110109,0.5754,0.3302,0.3674,0.6771,0.1595,0.4289,1.51,25.75,8.58,10.24,154.48,0.2917,3230.780029296875,MSFT,0.6795,0.601,,
2019-09-30,2.85,2.81,165896,66478.0,106061,0.6268,0.3166,0.352,0.6656,0.1511,0.4157,1.38,26.84,8.86,10.65,154.05,0.2749,2976.739990234375,MSFT,0.6468,1.1879,,
2019-06-30,2.53,2.5,175552,66662.0,102330,0.6514,0.3118,0.3414,0.659,0.1472,0.4182,1.7,25.49,8.07,9.74,135.35,0.2652,2941.760009765625,MSFT,0.613,0.6859,,
2019-03-31,2.97,2.93,159887,66585.0,94864,0.7019,0.2858,0.3349,0.6544,0.1345,0.3928,1.14,25.72,8.04,9.74,130.42,0.2583,2834.39990234375,MSFT,0.592,0.4879,,
2018-12-31,3.12,3.08,156874,69653.0,92128,0.756,0.2831,0.3282,0.651,0.1314,0.3945,1.08,25.42,7.27,9.25,114.4,0.2488,2506.85009765625,MSFT,0.5714,0.6718,,
2018-09-30,2.92,2.85,164195,69733.0,85967,0.8112,0.1638,0.3247,0.6521,0.0739,0.2307,1.14,22.76,6.44,8.18,98.1,0.2426,2913.97998046875,MSFT,0.5518,0.4384,,
2018-06-30,2.9,2.86,169662,72242.0,82718,0.8734,0.1502,0.3177,0.6525,0.0657,0.2009,1.16,45.64,7.43,9.83,109.99,0.2243,2718.3701171875,MSFT,0.5213,1.294,,
2018-03-31,3.4,3.35,156659,73480.0,79239,0.9273,0.1489,0.3056,0.6499,0.063,0.1883,0.95,44.77,6.65,8.77,94.46,0.2041,2640.8701171875,MSFT,0.4742,1.4284,,
2017-12-31,2.89,2.85,167633,73348.0,78360,0.936,0.1352,0.3011,0.6494,0.0564,0.17,-0.82,48.36,6.4,8.45,87.05,0.1963,2673.610107421875,MSFT,0.4405,0.5515,,
2017-09-30,3.12,3.06,161031,76255.0,89647,0.8506,0.2662,0.3027,0.6502,0.1113,0.3343,0.84,55.63,6.18,7.99,81.21,0.1989,2519.360107421875,MSFT,0.4342,0.1838,,
2017-06-30,2.92,2.88,162696,76073.0,87711,0.8673,0.2639,0.3006,0.6452,0.1117,0.3437,1.03,23.93,5.55,6.06,70.37,0.2043,2423.409912109375,MSFT,0.4438,0.3818,,
2017-03-31,2.81,2.78,146313,76222.0,69729,1.0931,0.2493,0.3112,0.6532,0.1135,0.3458,0.7,23.99,5.26,5.69,64.77,0.2345,2362.719970703125,MSFT,0.4867,2.1355,,
2016-12-31,2.05,2.02,144949,59306.0,68809,0.8619,0.2381,0.3048,0.6469,0.111,0.3154,0.8,27.23,4.98,6.82,61.54,0.2372,2238.830078125,MSFT,0.5273,0.1909,,
2016-09-30,2.69,2.63,157909,60154.0,70372,0.8548,0.2298,0.2913,0.6395,0.111,0.2899,0.72,27.22,4.83,6.48,57.71,0.2268,2168.27001953125,MSFT,0.5178,0.7354,,
2016-06-30,2.35,2.32,139660,40557.0,71997,0.5633,0.2253,0.2861,0.6404,0.1128,0.2729,0.86,25.55,4.58,5.88,53.14,0.2313,2098.860107421875,MSFT,0.5106,0.3182,,
2016-03-31,2.9,2.84,128421,40896.0,74806,0.5467,0.1206,0.1732,0.6286,0.0591,0.1356,0.47,22.89,4.13,5.09,46.92,0.1349,2059.739990234375,MSFT,0.3974,6.8165,,
