Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk,RealReturnClass,RiskClass
2022-03-31,0.93,0.88,118180.0,103323.0,67399.0,1.533,0.2641,0.3093,0.4332,0.2886,1.5288,1.52,25.22,6.69,37.36,155.35,0.6905,4530.41015625,AAPL,3.615866313905,2.7632830715171592,high,high
2021-12-31,1.04,1.0,153154.0,106629.0,71932.0,1.4824,0.2658,0.309,0.4302,0.2875,1.4981,2.1,28.3,7.51,41.93,174.36,0.6693,4766.18017578125,AAPL,3.3419997707019995,3.969890846526309,high,high
2021-09-30,1.08,1.02,134836.0,109106.0,63090.0,1.7294,0.2588,0.2978,0.4178,0.276,1.4412,1.23,29.32,7.84,40.23,177.08,0.6357,4307.5400390625,AAPL,2.974205624906,5.411774200758934,high,high
2021-06-30,1.06,1.01,114423.0,105752.0,64280.0,1.6452,0.25,0.2879,0.4101,0.2582,1.3101,1.3,25.07,6.52,36.69,140.91,0.5902,4297.5,AAPL,2.517428307866,7.143712853505055,high,high
2021-03-31,1.14,1.09,121465.0,108642.0,69178.0,1.5705,0.2345,0.2732,0.3988,0.2291,1.118,1.4,26.65,6.69,35.08,136.18,0.5279,3972.889892578125,AAPL,2.073934171451,6.93965417005776,high,high
2020-12-31,1.16,1.13,154106.0,99281.0,66224.0,1.4992,0.2173,0.2524,0.3878,0.1944,0.9059,1.68,27.22,6.41,29.25,121.25,0.4477,3756.070068359375,AAPL,1.785029827567,3.514901610761433,high,high
2020-09-30,1.36,1.33,143713.0,98667.0,65339.0,1.5101,0.2091,0.2415,0.3823,0.1763,0.7515,0.74,35.62,7.76,33.41,131.52,0.3897,3363.0,AAPL,1.6309365145959998,1.152142930947951,high,medium
2020-06-30,1.47,1.43,140065.0,94048.0,72282.0,1.3011,0.2133,0.2452,0.3819,0.1775,0.7066,0.65,35.15,7.35,29.77,114.59,0.3843,3100.2900390625,AAPL,1.5678939975520003,1.404006172825936,high,high
2020-03-31,1.5,1.46,143753.0,89086.0,78425.0,1.1359,0.2135,0.2448,0.3811,0.1731,0.6449,0.64,27.4,5.87,21.35,90.07,0.3676,2584.590087890625,AAPL,1.4705058339519996,1.831320106735393,high,high
2019-12-31,1.6,1.56,163231.0,93078.0,89531.0,1.0396,0.2149,0.2471,0.3795,0.1713,0.6018,1.25,19.65,4.22,13.81,62.62,0.3564,3230.780029296875,AAPL,1.3962605942799995,1.5954414227207891,high,high
2019-09-30,1.54,1.5,162819.0,91807.0,90488.0,1.0146,0.2124,0.2457,0.3782,0.1606,0.5382,0.77,22.79,4.94,14.13,72.14,0.3318,2976.739990234375,AAPL,1.33107184765,0.6169548875998419,high,medium
2019-06-30,1.51,1.47,134973.0,84936.0,96456.0,0.8806,0.215,0.2487,0.379,0.1587,0.5213,0.55,18.52,3.96,10.77,54.86,0.3265,2941.760009765625,AAPL,1.308842824925,0.4161730409336955,high,low
2019-03-31,1.32,1.26,123346.0,90201.0,105860.0,0.8521,0.2212,0.2534,0.3805,0.1598,0.5129,0.62,16.47,3.56,9.08,48.29,0.3195,2834.39990234375,AAPL,1.2980513997350005,0.0611010092660746,high,low
2018-12-31,1.3,1.25,140828.0,92989.0,117892.0,0.7888,0.2272,0.2598,0.3821,0.1633,0.5092,1.05,15.53,3.46,8.04,46.17,0.3191,2506.85009765625,AAPL,1.258168582718,1.3350280895921256,high,medium
2018-09-30,1.13,1.1,131339.0,93735.0,107147.0,0.8748,0.2241,0.2669,0.3834,0.1599,0.4868,0.74,12.56,2.87,6.13,38.18,0.3203,2913.97998046875,AAPL,1.2004775196920003,1.781918441829851,high,high
2018-06-30,1.31,1.24,115761.0,97128.0,114949.0,0.845,0.2198,0.266,0.3827,0.1498,0.435,0.59,18.35,4.14,9.66,54.44,0.2966,2718.3701171875,AAPL,1.13414486402,0.8252878285786082,high,medium
2018-03-31,1.46,1.37,130053.0,101362.0,126878.0,0.7989,0.2155,0.267,0.383,0.1427,0.3997,0.68,16.13,3.56,7.5,44.49,0.2854,2640.8701171875,AAPL,1.10583444318,0.3194265695482031,high,low
2017-12-31,1.24,1.2,143810.0,103922.0,140199.0,0.7412,0.2112,0.2687,0.3843,0.1383,0.3737,0.97,15.51,3.36,6.26,40.17,0.2805,2673.610107421875,AAPL,1.1004281465699997,0.1357694123627766,high,low
2017-09-30,1.28,1.23,128645.0,97207.0,134047.0,0.7252,0.2109,0.2676,0.3847,0.1395,0.3629,0.52,16.59,3.52,5.85,40.35,0.2794,2519.360107421875,AAPL,1.1128945689939995,0.4453088815642484,high,low
