Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk
2022-03-31,0.93,0.88,118180,103323.0,67399,1.533,0.2641,0.3093,0.4332,0.2886,1.5288,1.52,25.22,6.69,37.36,155.35,0.6905,4530.41015625,AAPL,1.8219516500000004,1.4990663761154739
2021-12-31,1.04,1.0,153154,106629.0,71932,1.4824,0.2658,0.309,0.4302,0.2875,1.4981,2.1,28.3,7.51,41.93,174.36,0.6693,4766.18017578125,AAPL,1.73047401,2.3758787847867993
2021-09-30,1.08,1.02,134836,109106.0,63090,1.7294,0.2588,0.2978,0.4178,0.276,1.4412,1.23,29.32,7.84,40.23,177.08,0.6357,4307.5400390625,AAPL,1.6010901399999997,3.217335854398799
2021-06-30,1.06,1.01,114423,105752.0,64280,1.6452,0.25,0.2879,0.4101,0.2582,1.3101,1.3,25.07,6.52,36.69,140.91,0.5902,4297.5,AAPL,1.4296665799999997,4.405275246792184
2021-03-31,1.14,1.09,121465,108642.0,69178,1.5705,0.2345,0.2732,0.3988,0.2291,1.118,1.4,26.65,6.69,35.08,136.18,0.5279,3972.889892578125,AAPL,1.21194083,5.670996385116118
2020-12-31,1.16,1.13,154106,99281.0,66224,1.4992,0.2173,0.2524,0.3878,0.1944,0.9059,1.68,27.22,6.41,29.25,121.25,0.4477,3756.070068359375,AAPL,1.01186869,4.101219330881974
2020-09-30,1.36,1.33,143713,98667.0,65339,1.5101,0.2091,0.2415,0.3823,0.1763,0.7515,0.74,35.62,7.76,33.41,131.52,0.3897,3363.0,AAPL,0.92376171,0.3818376618407351
2020-06-30,1.47,1.43,140065,94048.0,72282,1.3011,0.2133,0.2452,0.3819,0.1775,0.7066,0.65,35.15,7.35,29.77,114.59,0.3843,3100.2900390625,AAPL,0.89316868,1.1808683245815357
2020-03-31,1.5,1.46,143753,89086.0,78425,1.1359,0.2135,0.2448,0.3811,0.1731,0.6449,0.64,27.4,5.87,21.35,90.07,0.3676,2584.590087890625,AAPL,0.85501264,0.7919595949289314
2019-12-31,1.6,1.56,163231,93078.0,89531,1.0396,0.2149,0.2471,0.3795,0.1713,0.6018,1.25,19.65,4.22,13.81,62.62,0.3564,3230.780029296875,AAPL,0.8064535199999998,1.7394826817189075
2019-09-30,1.54,1.5,162819,91807.0,90488,1.0146,0.2124,0.2457,0.3782,0.1606,0.5382,0.77,22.79,4.94,14.13,72.14,0.3318,2976.739990234375,AAPL,0.7666327,0.37476659402887097
2019-06-30,1.51,1.47,134973,84936.0,96456,0.8806,0.215,0.2487,0.379,0.1587,0.5213,0.55,18.52,3.96,10.77,54.86,0.3265,2941.760009765625,AAPL,0.7503167500000001,0.49497474683058273
2019-03-31,1.32,1.26,123346,90201.0,105860,0.8521,0.2212,0.2534,0.3805,0.1598,0.5129,0.62,16.47,3.56,9.08,48.29,0.3195,2834.39990234375,AAPL,0.74055245,0.028284271247461298
2018-12-31,1.3,1.25,140828,92989.0,117892,0.7888,0.2272,0.2598,0.3821,0.1633,0.5092,1.05,15.53,3.46,8.04,46.17,0.3191,2506.85009765625,AAPL,0.7416077299999999,0.08485281374238138
2018-09-30,1.13,1.1,131339,93735.0,107147,0.8748,0.2241,0.2669,0.3834,0.1599,0.4868,0.74,12.56,2.87,6.13,38.18,0.3203,2913.97998046875,AAPL,0.71190098,1.6758430714121157
2018-06-30,1.31,1.24,115761,97128.0,114949,0.845,0.2198,0.266,0.3827,0.1498,0.435,0.59,18.35,4.14,9.66,54.44,0.2966,2718.3701171875,AAPL,0.6666496400000002,0.7919595949289314
2018-03-31,1.46,1.37,130053,101362.0,126878,0.7989,0.2155,0.267,0.383,0.1427,0.3997,0.68,16.13,3.56,7.5,44.49,0.2854,2640.8701171875,AAPL,0.6459547000000001,0.3464823227814047
2017-12-31,1.24,1.2,143810,103922.0,140199,0.7412,0.2112,0.2687,0.3843,0.1383,0.3737,0.97,15.51,3.36,6.26,40.17,0.2805,2673.610107421875,AAPL,0.6382716999999998,0.07778174593052485
2017-09-30,1.28,1.23,128645,97207.0,134047,0.7252,0.2109,0.2676,0.3847,0.1395,0.3629,0.52,16.59,3.52,5.85,40.35,0.2794,2519.360107421875,AAPL,0.6403187399999999,0.19091883092037004
2017-06-30,1.39,1.35,112875,89864.0,132425,0.6786,0.2087,0.2684,0.3851,0.14,0.354,0.42,15.92,3.37,5.6,36.62,0.2821,2423.409912109375,AAPL,0.6514730100000001,0.4242640687119295
2017-03-31,1.39,1.35,101990,84531.0,134082,0.6304,0.2074,0.2691,0.3841,0.1415,0.3509,0.53,15.49,3.25,5.32,34.08,0.2881,2362.719970703125,AAPL,0.66705902,0.43133513652379357
2016-12-31,1.23,1.2,103332,73557.0,132390,0.5556,0.2073,0.2715,0.3852,0.1431,0.3494,0.84,15.84,3.3,5.26,33.85,0.2942,2238.830078125,AAPL,0.6922959199999998,0.9475230867899711
2016-09-30,1.35,1.33,106869,75427.0,128249,0.5881,0.2119,0.2784,0.3908,0.1491,0.3559,0.43,13.02,2.71,4.32,27.18,0.3076,2168.27001953125,AAPL,0.7464305599999996,1.979898987322336
2016-06-30,1.31,1.29,93761,68939.0,126541,0.5448,0.217,0.2855,0.3949,0.1601,0.3789,0.36,12.76,2.71,4.39,26.39,0.3356,2098.860107421875,AAPL,0.8268336799999998,2.276883835420682
2016-03-31,1.28,1.25,87592,69374.0,130457,0.5318,0.2227,0.2939,0.3981,0.1744,0.4024,0.48,10.37,2.26,3.78,22.2,0.3678,2059.739990234375,AAPL,0.9268198599999999,2.8920667350529765
2015-12-31,1.0,0.97,76219,53204.0,128267,0.4148,0.2287,0.3028,0.4013,0.1922,0.4279,0.82,11.19,2.5,4.23,25.15,0.4087,2043.93994140625,AAPL,1.00711576,1.1384419177103462
2015-09-30,1.11,1.08,89378,53329.0,119355,0.4468,0.2285,0.3048,0.4006,0.1966,0.4294,0.5,10.26,2.36,4.18,24.16,0.4248,1920.030029296875,AAPL,1.0296276000000004,0.021213203435602256
2015-06-30,1.09,1.06,70953,47419.0,125677,0.3773,0.2262,0.3021,0.3971,0.1974,0.4146,0.46,10.93,2.51,4.7,25.13,0.4245,2063.110107421875,AAPL,1.0168070999999999,0.6151828996322946
2015-03-31,1.16,1.12,67891,40072.0,129006,0.3106,0.2253,0.3015,0.3966,0.1956,0.3944,0.58,13.18,3.0,5.18,28.54,0.4158,2067.889892578125,AAPL,0.99118112,0.6646803743153531
2014-12-31,1.13,1.1,83403,32504.0,123328,0.2636,0.2225,0.2967,0.3926,0.1928,0.3736,0.77,13.94,3.16,5.04,28.19,0.4064,2058.89990234375,AAPL,0.92072048,2.8779245994292486
2014-09-30,1.08,1.05,68531,28987.0,111547,0.2599,0.2161,0.2872,0.3859,0.1785,0.3276,0.36,13.43,3.01,4.71,24.91,0.3657,1972.2900390625,AAPL,0.8543474600000001,0.558614357137372
2014-06-30,1.47,1.44,67949,29030.0,120940,0.24,0.2164,0.2884,0.384,0.1792,0.312,0.32,14.08,3.06,4.76,22.64,0.3578,1960.22998046875,AAPL,0.8415841400000001,0.10606601717798111
2014-03-31,1.63,1.59,70541,16962.0,120179,0.1411,0.2142,0.2857,0.3788,0.18,0.3036,0.42,13.43,2.92,4.12,20.78,0.3563,1872.3399658203125,AAPL,0.9814186700000003,7.396336931211282
2013-12-31,1.49,1.46,80347,16961.0,129684,0.1308,0.2128,0.2831,0.3741,0.1792,0.2893,0.52,11.41,2.46,3.42,17.05,0.4609,1848.3599853515625,AAPL,1.48046211,16.758430714121175
2022-03-31,1.99,1.95,153922,48177.0,162924,0.2957,0.3763,0.4256,0.6873,0.214,0.4698,2.22,27.65,10.3,12.16,264.84,0.4029,4530.41015625,MSFT,0.96363913,0.2262741699796954
2021-12-31,2.25,2.21,174188,48260.0,160010,0.3016,0.385,0.4252,0.6883,0.216,0.4839,2.48,32.1,12.08,14.13,307.56,0.3997,4766.18017578125,MSFT,0.94404333,0.7636753236814702
